Dia;Sessao;Turno;Horario_Inicio;Bloco;Sala;Ordem;Evento;Código do Resumo;Título;Submissor;Área;Modalidade
Segunda-feira;Sessão 3;Tarde;14:16;Ciências Exatas;PA-03;2;7ª - EDISPE;202623832;Sexualidade, Gênero e Violência: Artivismo e Contemporaneidade;EVERTON RIBEIRO;Direitos Humanos e Justiça;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:32;Ciências Exatas;PA-03;3;7ª - EDISPE;202623116;O Impacto da Lgbtfobia na Saúde Integral de Adolescentes Gays, Lésbicas e Transexuais em Idade Escolar;EVERTON RIBEIRO;Direitos Humanos e Justiça;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:48;Ciências Exatas;PA-03;4;2ª - EPEx-PG;202625680;Entre Línguas e Pertencimentos: o Português Como Língua de Acolhimento na Experiência de Crianças Migrantes;ADRIELLI CYBELLE CORDEIRO DA SILVA DE FRANCA;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;15:04;Ciências Exatas;PA-03;5;2ª - EPEx-PG;202624396;Entre o Silêncio e o Grito: Juventudes, Diversidade e Enfrentamento das Violências no Contexto Escolar;NICOLY CRISTINE DAMBROSKI DO ROSARIO;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:00;Ciências Exatas;PA-04;1;2ª - EPEx-PG;202625944;Parque da Vida: a Diversão Segura Começa com o Cinto - Psicologia para Todos;ANA JULIA PEREIRA BORGES;Tecnologia e Produção;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:00;Ciências Exatas;PA-05;1;2ª - EPEx-PG;202625837;Zona de Convergência Intertropical Associada À Variabilidade do Gelo Marinho Ártico e Antártico e Impactos nos Extremos de Precipitação Pluvial na América do Sul;CECILIA DOS SANTOS TAVARES;Meio Ambiente;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:00;Ciências Exatas;PA-07;1;2ª - EPEx-PG;202625378;Pesquisa & Extensão nas Redes: Divulgação Científica nas Redes Sociais do Observatório do Ensino Médio;ISABELA ALVES MIRANDA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:00;Ciências Exatas;PA-08;1;2ª - EPEx-PG;202625270;A Flauta Doce no Contexto da Educação Musical Brasileira;BRUNA CRISTINE RIBEIRO DE OLIVEIRA;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:00;Ciências Exatas;PA-09;1;2ª - EPEx-PG;202625243;Intervenção em Neuropsicologia e Doenças Crônicas: Qualidade de Vida e Inclusão;GABRIELA WEINERT MORAES;Saúde;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:20;Ciências Exatas;PA-09;2;2ª - EPEx-PG;202625215;Intervenção em Neuropsicologia e Doenças Crônicas: Qualidade de Vida e Inclusão;JOAO PAULO GUIMARAES FACIROLI;Saúde;Comunicação Oral
